"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4033","more validations","safari","Sat Jul 25 18:24:06 IST 2026","passed","Sat Jul 25 18:24:10 IST 2026","","HandlingDailogues\Frames.spec.js","",""
"","26374","Handling Static Dropdown","safari","Sat Jul 25 18:22:42 IST 2026","passed","Sat Jul 25 18:23:09 IST 2026","","UIControls.spec.js","",""
"","25893","Calendar handling","safari","Sat Jul 25 18:22:41 IST 2026","broken","Sat Jul 25 18:23:07 IST 2026","","Calendar.spec.js","",""
"","9504","how to use api integartion in test flow","safari","Sat Jul 25 18:22:43 IST 2026","passed","Sat Jul 25 18:22:53 IST 2026","","NetworkIntercept.spec.js","",""
"","3362","Skipping login by injecting storage data","chrome","Sat Jul 25 18:21:35 IST 2026","passed","Sat Jul 25 18:21:38 IST 2026","","WebAPIIntegrationPart2.spec.js","",""
"","13114","First Playwright Automation test","chrome","Sat Jul 25 18:21:38 IST 2026","passed","Sat Jul 25 18:21:51 IST 2026","","UIBasicsTest.spec.js","",""
"","18457","Calendar handling in normal way","chrome","Sat Jul 25 18:21:35 IST 2026","passed","Sat Jul 25 18:21:53 IST 2026","","Calendar.spec.js","",""
"","20409","Login with valid credentials","chrome","Sat Jul 25 18:21:06 IST 2026","broken","Sat Jul 25 18:21:27 IST 2026","","LoginPageAutomation.spec.js","",""
"","29284","Dealing with pop ups and frames","safari","Sat Jul 25 18:22:44 IST 2026","broken","Sat Jul 25 18:23:14 IST 2026","","HandlingDailogues\Frames.spec.js","",""
"","26778","Login with valid credentials","safari","Sat Jul 25 18:22:43 IST 2026","broken","Sat Jul 25 18:23:10 IST 2026","","LoginPageCodeByUsingUniqueLocators.spec.js","",""
"","425","list a booking via api","chrome","Sat Jul 25 18:21:02 IST 2026","failed","Sat Jul 25 18:21:02 IST 2026","","Assignment\Two.spec.js","",""
"","19366","use cases of unique locators","safari","Sat Jul 25 18:22:50 IST 2026","passed","Sat Jul 25 18:23:09 IST 2026","","UniqueLocators.spec.js","",""
"","13560","how to use api integartion in test flow","chrome","Sat Jul 25 18:21:15 IST 2026","passed","Sat Jul 25 18:21:28 IST 2026","","WebAPIIntegration.spec.js","",""
"","6268","Checkboxes","safari","Sat Jul 25 18:23:35 IST 2026","passed","Sat Jul 25 18:23:41 IST 2026","","UIControls.spec.js","",""
"","70","Login for mansi50@yahoo.com","chrome","Sat Jul 25 18:20:50 IST 2026","skipped","Sat Jul 25 18:20:50 IST 2026","","EndToEndTestAutomation.spec.js","",""
"","20750","Login with valid credentials","safari","Sat Jul 25 18:22:51 IST 2026","broken","Sat Jul 25 18:23:12 IST 2026","","LoginPageAutomation.spec.js","",""
"","54","Login2 validation","chrome","Sat Jul 25 18:20:50 IST 2026","skipped","Sat Jul 25 18:20:50 IST 2026","","EndToEndTestAutomation.spec.js","",""
"","11679","Handling javascript popups","chrome","Sat Jul 25 18:22:07 IST 2026","passed","Sat Jul 25 18:22:19 IST 2026","","HandlingDailogues\Frames.spec.js","",""
"","11362","list a booking via api","safari","Sat Jul 25 18:22:02 IST 2026","passed","Sat Jul 25 18:22:14 IST 2026","","Assignment\Two.spec.js","",""
"","10119","Navigation","safari","Sat Jul 25 18:23:48 IST 2026","passed","Sat Jul 25 18:23:59 IST 2026","","HandlingDailogues\Frames.spec.js","",""
"","19298","Dealing with pop ups and frames","chrome","Sat Jul 25 18:20:06 IST 2026","passed","Sat Jul 25 18:20:25 IST 2026","","HandlingDailogues\Frames.spec.js","",""
"","12639","how to use api integartion in test flow","chrome","Sat Jul 25 18:20:06 IST 2026","passed","Sat Jul 25 18:20:18 IST 2026","","NetworkIntercept.spec.js","",""
"","222","fetch all the events via api","safari","Sat Jul 25 18:22:01 IST 2026","passed","Sat Jul 25 18:22:01 IST 2026","","Assignment\Two.spec.js","",""
"","8858","more validations","chrome","Sat Jul 25 18:22:29 IST 2026","passed","Sat Jul 25 18:22:38 IST 2026","","HandlingDailogues\Frames.spec.js","",""
"","9673","Login for tanya10@gmail.com","chrome","Sat Jul 25 18:20:18 IST 2026","failed","Sat Jul 25 18:20:28 IST 2026","","EndToEndTestAutomation.spec.js","",""
"","13297","Checkboxes","chrome","Sat Jul 25 18:21:11 IST 2026","passed","Sat Jul 25 18:21:24 IST 2026","","UIControls.spec.js","",""
"","3703","Hovering mouse on the webelement","safari","Sat Jul 25 18:24:03 IST 2026","passed","Sat Jul 25 18:24:06 IST 2026","","HandlingDailogues\Frames.spec.js","",""
"","159","fetch all the events via api","chrome","Sat Jul 25 18:20:06 IST 2026","passed","Sat Jul 25 18:20:06 IST 2026","","Assignment\Two.spec.js","",""
"","10631","Login for tanya10@gmail.com","safari","Sat Jul 25 18:22:23 IST 2026","failed","Sat Jul 25 18:22:34 IST 2026","","EndToEndTestAutomation.spec.js","",""
"","18851","Login by providing invalid credentials","safari","Sat Jul 25 18:22:01 IST 2026","passed","Sat Jul 25 18:22:20 IST 2026","","LoginPageAutomation.spec.js","",""
"","8606","Radio Button","chrome","Sat Jul 25 18:21:02 IST 2026","passed","Sat Jul 25 18:21:10 IST 2026","","UIControls.spec.js","",""
"","3954","Handling javascript popups","safari","Sat Jul 25 18:23:59 IST 2026","passed","Sat Jul 25 18:24:03 IST 2026","","HandlingDailogues\Frames.spec.js","",""
"","16746","Calendar handling in normal way","safari","Sat Jul 25 18:23:17 IST 2026","passed","Sat Jul 25 18:23:33 IST 2026","","Calendar.spec.js","",""
"","36181","Navigation","chrome","Sat Jul 25 18:21:10 IST 2026","broken","Sat Jul 25 18:21:46 IST 2026","","HandlingDailogues\Frames.spec.js","",""
"","16259","Calendar handling","chrome","Sat Jul 25 18:20:06 IST 2026","passed","Sat Jul 25 18:20:22 IST 2026","","Calendar.spec.js","",""
"","12956","use cases of unique locators","chrome","Sat Jul 25 18:21:01 IST 2026","passed","Sat Jul 25 18:21:14 IST 2026","","UniqueLocators.spec.js","",""
"","24509","@Web Same program in different way","safari","Sat Jul 25 18:23:01 IST 2026","passed","Sat Jul 25 18:23:25 IST 2026","","UIBasicsTest.spec.js","",""
"","11708","mocking the response","chrome","Sat Jul 25 18:20:06 IST 2026","passed","Sat Jul 25 18:20:17 IST 2026","","Assignment\One.spec.js","",""
"","7957","Skipping login by injecting storage data","safari","Sat Jul 25 18:23:10 IST 2026","passed","Sat Jul 25 18:23:18 IST 2026","","WebAPIIntegrationPart2.spec.js","",""
"","15695","how to use api integartion in test flow","safari","Sat Jul 25 18:22:54 IST 2026","passed","Sat Jul 25 18:23:10 IST 2026","","WebAPIIntegration.spec.js","",""
